epochs,val_loss,val_acc,loss,acc,config
0,6.421846008300781,0.0,6.409830837249756,0.001875,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
1,6.276159572601318,0.0,6.363881587982178,0.0075,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
2,6.181222724914551,0.0,6.343761425018311,0.008125,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
3,6.171106433868408,0.0,6.326239242553711,0.0075,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
4,6.471390628814698,0.0,6.306845960617065,0.00875,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
5,6.439251518249511,0.0,6.301698083877564,0.005625,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
6,6.418259334564209,0.0,6.298414211273194,0.008125,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
7,6.266580390930176,0.0,6.2970133399963375,0.005,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
8,6.271703052520752,0.0,6.289425983428955,0.00875,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
9,6.3155206680297855,0.0,6.287226886749267,0.0075,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
10,6.2385906219482425,0.0,6.28636251449585,0.009375,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
11,6.3312352180480955,0.0,6.2851441383361815,0.00625,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
12,6.3096771240234375,0.0,6.290772705078125,0.005,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
13,6.399472618103028,0.0,6.287577133178711,0.005,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
14,6.140625381469727,0.0,6.287066001892089,0.005625,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
15,6.312670612335205,0.0,6.285887308120728,0.00375,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
16,6.365914726257325,0.0,6.286989440917969,0.005625,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
17,6.3573907852172855,0.0,6.284239282608032,0.004375,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
18,6.311180496215821,0.0,6.279873905181884,0.00625,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
19,6.24715404510498,0.0,6.276513576507568,0.005,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
20,6.336816692352295,0.0,6.28362361907959,0.005,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
21,6.305216121673584,0.0,6.278592948913574,0.00625,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
22,6.300429821014404,0.0,6.279666452407837,0.0075,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
23,6.226970481872558,0.0,6.273739528656006,0.01,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
24,6.288963317871094,0.0,6.2728270857674735,0.007619047619047619,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
25,6.235827827453614,0.0,6.267398576736451,0.008125,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
26,6.334197998046875,0.0,6.2641317176818845,0.01125,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
27,6.351009750366211,0.0,6.268787689208985,0.0075,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
28,6.260363960266114,0.0,6.279126033782959,0.005,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
29,6.265027046203613,0.0,6.278026657104492,0.005625,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
30,6.326263809204102,0.0,6.265622501373291,0.010625,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
31,6.306826782226563,0.0,6.275981121063232,0.00625,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
32,6.299394702911377,0.0,6.272020874023437,0.006875,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
33,6.297391033172607,0.0,6.273277521133423,0.008125,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
34,6.314969921112061,0.0,6.273436117172241,0.006875,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
35,6.334366130828857,0.0,6.274040260314941,0.00375,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
36,6.066918087005615,0.2,6.27335521697998,0.008125,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
37,6.218590545654297,0.0,6.274850702285766,0.0075,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
38,6.26965560913086,0.0,6.28253215789795,0.005625,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
39,6.321131896972656,0.0,6.27061245918274,0.01125,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
40,6.291355419158935,0.0,6.27851336479187,0.003125,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
41,6.1952465057373045,0.0,6.26909854888916,0.01125,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
42,6.147706508636475,0.0,6.278731431961059,0.005,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
43,6.282434749603271,0.0,6.2794738864898685,0.0025,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
44,6.301062870025635,0.0,6.277025346755981,0.0025,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
45,6.287449836730957,0.0,6.270289039611816,0.00625,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
46,6.276980018615722,0.0,6.273954267501831,0.005625,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
47,6.286732387542725,0.0,6.275790519714356,0.005625,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
48,6.267027187347412,0.0,6.271008815765381,0.0075,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
49,6.305969142913819,0.0,6.267672835153246,0.007619047619047619,"{'img_pixels': 256, 'n_filters': 64, 'layer_nodes': 512, 'batchsize': 32, 'epochs': 50, 'kernel_size': (4, 4), 'pool_size': (2, 2), 'dropout': 0.2, 'steps_per_epoch': 50, 'validation_steps': 5, 'version': 1}"
